           N  Sequential    1 thread   2 threads   4 threads   8 threads      1 thread     2 threads     4 threads     8 threads
     1048576     7.22019      7.1185     10.6403     11.3576     10.3146             0      0.292962      0.500314      0.646402
     2097152     5.88167     5.35817      8.1223     9.38908     8.60009             0      0.292935      0.500406      0.646826
     4194304     5.14008     4.89989     7.38434     9.19804     8.96219             0      0.293133      0.500146      0.646519
     8388608     5.16834     5.09588     8.38861     10.2879     10.2879             0      0.292885       0.50008      0.646561
    16777216     4.10631     4.22448     7.03237     9.62627     10.4858             0      0.292794      0.499991      0.646449
    33554432     3.56015     3.50438     5.34732     6.24269     6.24269             0      0.292945      0.500122      0.646559

           N  Sequential    1 thread   2 threads   4 threads   8 threads      1 thread     2 threads     4 threads     8 threads
     1048576      7.3783     7.65778     18.0505      37.438     77.7559             0      0.292417      0.499715      0.645604
     2097152     5.53195     5.62313     15.7448     39.3619     93.0373             0      0.292768      0.499831      0.645852
     4194304     5.04123     4.85452     11.0376     29.1271     80.6597             0      0.292708       0.49984      0.646278
     8388608     4.78298      4.9569     10.0048     23.2025     68.1574             0      0.292906      0.500074      0.646676
    16777216     4.22448     4.43172     9.95259     21.7482     48.9335             0      0.292829      0.500053      0.646499
    33554432     3.61773      3.6772     8.88859     20.9715      43.296             0       0.29287       0.50004      0.646411
