           N  Sequential    1 thread   2 threads   4 threads   8 threads      1 thread     2 threads     4 threads     8 threads
     1048576     7.06872     6.97122      11.108     12.6353      11.108             0   1.92318e-16   7.36145e-09             0
     2097152     5.24826     5.04143     7.81229     8.38861     9.13759             0   5.43881e-16   9.18764e-07   6.79851e-16
     4194304     5.04123     4.85452     8.06597     9.03945     9.61996             0   3.84636e-16   8.23385e-08   3.84636e-16
     8388608     4.70051     4.93448     8.45364     9.73678     9.65061             0   6.79751e-16   7.60696e-08     2.719e-16
    16777216     4.28615     3.95423     6.90827     8.04387     10.0377             0             0   1.07342e-09   9.61419e-16
    33554432     3.30586     3.50438     5.24288     5.26344     6.12866             0   6.11875e-15    6.8626e-08   6.11875e-15

           N  Sequential    1 thread   2 threads   4 threads   8 threads      1 thread     2 threads     4 threads     8 threads
     1048576     7.65778     7.43255     7.54349     7.54349     7.65778             0   9.60481e-16   1.14899e-07   1.34467e-15
     2097152     5.19498     5.22148     5.38637     4.96801     5.27531             0   2.31139e-15   1.06294e-08   2.03946e-15
     4194304     5.04123     4.83215     4.94611     4.94611      4.8771             0   7.69035e-16   3.29211e-07   1.92259e-16
     8388608     4.80405     4.76209     4.97954     4.84675     4.84675             0   1.22385e-15   6.67879e-08     8.159e-16
    16777216      4.3336     3.75209      4.3336     4.14984     4.30185             0   4.61629e-15   2.80169e-08   3.84691e-15
    33554432     3.33046     3.33046     3.33046     3.42392     3.44148             0   4.21576e-15   1.06708e-08   5.16771e-15
